algorithm;sample1;sample_size;output;output_image_size;duration;seed;algorithm_parameters
HAR;Samples/skulls.png;25x25;ExperimentsHAR1Output/skulls1.gif;64x64;172;42;neighborhood=1, M=20, Polish=8
HAR;Samples/skulls.png;25x25;ExperimentsHAR1Output/skulls2.gif;64x64;302;42;neighborhood=2, M=20, Polish=8
HAR;Samples/skulls.png;25x25;ExperimentsHAR1Output/skulls3.gif;64x64;470;42;neighborhood=3, M=20, Polish=8
HAR;Samples/wall.png;32x32;ExperimentsHAR1Output/wall1.gif;128x128;558;42;neighborhood=1, M=20, Polish=8
HAR;Samples/wall.png;32x32;ExperimentsHAR1Output/wall2.gif;128x128;1131;42;neighborhood=2, M=20, Polish=8
HAR;Samples/wall.png;32x32;ExperimentsHAR1Output/wall3.gif;128x128;1762;42;neighborhood=3, M=20, Polish=8
HAR;Samples/square_spiral.png;64x32;ExperimentsHAR1Output/square_spiral1.gif;128x128;543;42;neighborhood=1, M=20, Polish=8
HAR;Samples/square_spiral.png;64x32;ExperimentsHAR1Output/square_spiral2.gif;128x128;1095;42;neighborhood=2, M=20, Polish=8
HAR;Samples/square_spiral.png;64x32;ExperimentsHAR1Output/square_spiral3.gif;128x128;1728;42;neighborhood=3, M=20, Polish=8
HAR;Samples/halls_and_foam.png;50x25;ExperimentsHAR1Output/halls_and_foam1.gif;128x128;634;33;neighborhood=1, M=20, Polish=8
HAR;Samples/halls_and_foam.png;50x25;ExperimentsHAR1Output/halls_and_foam2.gif;128x128;1127;33;neighborhood=2, M=20, Polish=8
HAR;Samples/halls_and_foam.png;50x25;ExperimentsHAR1Output/halls_and_foam3.gif;128x128;1869;33;neighborhood=3, M=20, Polish=8
HAR;Samples/halls_and_foam_v.png;25x50;ExperimentsHAR1Output/halls_and_foam_v1.gif;128x128;569;33;neighborhood=1, M=20, Polish=8
HAR;Samples/halls_and_foam_v.png;25x50;ExperimentsHAR1Output/halls_and_foam_v2.gif;128x128;1135;33;neighborhood=2, M=20, Polish=8
HAR;Samples/halls_and_foam_v.png;25x50;ExperimentsHAR1Output/halls_and_foam_v3.gif;128x128;1851;33;neighborhood=3, M=20, Polish=8
HAR;Samples/redfoam.png;32x32;ExperimentsHAR1Output/redfoam1.gif;128x128;553;42;neighborhood=1, M=20, Polish=8
HAR;Samples/redfoam.png;32x32;ExperimentsHAR1Output/redfoam2.gif;128x128;1109;42;neighborhood=2, M=20, Polish=8
HAR;Samples/redfoam.png;32x32;ExperimentsHAR1Output/redfoam3.gif;128x128;1781;42;neighborhood=3, M=20, Polish=8
HAR;Samples/bluehalls.png;25x25;ExperimentsHAR1Output/bluehalls1.gif;128x128;569;42;neighborhood=1, M=20, Polish=8
HAR;Samples/bluehalls.png;25x25;ExperimentsHAR1Output/bluehalls2.gif;128x128;1140;42;neighborhood=2, M=20, Polish=8
HAR;Samples/bluehalls.png;25x25;ExperimentsHAR1Output/bluehalls3.gif;128x128;1772;42;neighborhood=3, M=20, Polish=8
HAR;Samples/sgraph.png;32x32;ExperimentsHAR1Output/sgraph1.gif;128x64;292;-1(536);neighborhood=1, M=20, Polish=8
HAR;Samples/sgraph.png;32x32;ExperimentsHAR1Output/sgraph2.gif;128x64;591;-1(903);neighborhood=2, M=20, Polish=8
HAR;Samples/sgraph.png;32x32;ExperimentsHAR1Output/sgraph3.gif;128x64;896;-1(596);neighborhood=3, M=20, Polish=8
HAR;Samples/sgraph.png;32x32;ExperimentsHAR1Output/sgraph4.gif;128x64;1357;-1(578);neighborhood=4, M=20, Polish=8
HAR;Samples/sgraph.png;32x32;ExperimentsHAR1Output/sgraph5.gif;128x64;2003;-1(27);neighborhood=5, M=20, Polish=8
HAR;Samples/sgraph.png;32x32;ExperimentsHAR1Output/sgraph6.gif;128x64;2746;-1(112);neighborhood=6, M=20, Polish=8
HAR;Samples/ball.png;13x13;ExperimentsHAR1Output/ball1.gif;128x128;1872;42;neighborhood=3, M=20, Polish=8
HAR;Samples/ball.png;13x13;ExperimentsHAR1Output/ball2.gif;128x128;2748;42;neighborhood=4, M=20, Polish=8
HAR;Samples/ball.png;13x13;ExperimentsHAR1Output/ball3.gif;128x128;4095;42;neighborhood=5, M=20, Polish=8
HAR;Samples/solid_ball.png;13x13;ExperimentsHAR1Output/solid_ball1.gif;128x128;1844;-1(956);neighborhood=3, M=20, Polish=8
HAR;Samples/solid_ball.png;13x13;ExperimentsHAR1Output/solid_ball2.gif;128x128;2744;-1(886);neighborhood=4, M=20, Polish=8
HAR;Samples/solid_ball.png;13x13;ExperimentsHAR1Output/solid_ball3.gif;128x128;4091;-1(710);neighborhood=5, M=20, Polish=8
HAR;Samples/city.png;32x32;ExperimentsHAR1Output/city1.gif;128x32;466;4242;neighborhood=3, M=20, Polish=8
HAR;Samples/city.png;32x32;ExperimentsHAR1Output/city2.gif;128x32;743;4242;neighborhood=4, M=20, Polish=8
HAR;Samples/city.png;32x32;ExperimentsHAR1Output/city3.gif;128x32;1028;4242;neighborhood=5, M=20, Polish=8
HAR;Samples/city2.png;32x32;ExperimentsHAR1Output/cityb1.gif;128x32;465;4242;neighborhood=3, M=20, Polish=8
HAR;Samples/city2.png;32x32;ExperimentsHAR1Output/cityb2.gif;128x32;709;4242;neighborhood=4, M=20, Polish=8
HAR;Samples/city2.png;32x32;ExperimentsHAR1Output/cityb3.gif;128x32;1032;4242;neighborhood=5, M=20, Polish=8
HAR;Samples/city3.png;32x32;ExperimentsHAR1Output/cityc1.gif;128x32;491;4242;neighborhood=3, M=20, Polish=8
HAR;Samples/city3.png;32x32;ExperimentsHAR1Output/cityc2.gif;128x32;716;4242;neighborhood=4, M=20, Polish=8
HAR;Samples/city3.png;32x32;ExperimentsHAR1Output/cityc3.gif;128x32;1035;4242;neighborhood=5, M=20, Polish=8
