sample1;sample_size;output;output_image_size;duration;seed;neighborhood;temperature
../Samples/redfoam.png;32x32;../Output/redfoam1.png;128x128;8156;42;1;not_used
../Samples/redfoam.png;32x32;../Output/redfoam2.png;128x128;17980;42;2;not_used
../Samples/redfoam.png;32x32;../Output/redfoam3.png;128x128;32906;42;3;not_used
../Samples/bluehalls.png;25x25;../Output/bluehalls1.png;128x128;9910;42;1;not_used
../Samples/bluehalls.png;25x25;../Output/bluehalls2.png;128x128;20461;42;2;not_used
../Samples/bluehalls.png;25x25;../Output/bluehalls3.png;128x128;41877;42;3;not_used
../Samples/halls_and_foam.png;50x25;../Output/halls_and_foam1.png;128x128;20277;33;1;not_used
../Samples/halls_and_foam.png;50x25;../Output/halls_and_foam2.png;128x128;65168;33;2;not_used
../Samples/halls_and_foam.png;50x25;../Output/halls_and_foam3.png;128x128;93328;33;3;not_used
../Samples/halls_and_foam_v.png;25x50;../Output/halls_and_foam_v1.png;128x128;21092;33;1;not_used
../Samples/halls_and_foam_v.png;25x50;../Output/halls_and_foam_v2.png;128x128;55308;33;2;not_used
../Samples/halls_and_foam_v.png;25x50;../Output/halls_and_foam_v3.png;128x128;100597;33;3;not_used
